Dataset,Human Samples,Relative Error
helmet,19400,0.02214266335831488
helmet,19500,0.02203809660832043
helmet,19600,0.023769867250296846
helmet,19700,0.020907704575690595
helmet,19800,0.022806990372552204
helmet,19900,0.021015231699292175
helmet,20000,0.02222723055543112
helmet,20100,0.022085096494840407
helmet,20200,0.02155768314224895
helmet,20300,0.022364829458740108
helmet,20400,0.023717414950269224
helmet,20500,0.019730199304475563
helmet,20600,0.019671961181731572
helmet,20700,0.021601862266690388
helmet,20800,0.0237808468644876
helmet,20900,0.02247884982071237
helmet,21000,0.020597425265929413
helmet,21100,0.02034239228012688
helmet,21200,0.020265308038836288
helmet,21300,0.02044901456246251
helmet,21400,0.023092478157716523
helmet,21500,0.02180914789898256
helmet,21600,0.02135654474633895
helmet,21700,0.02055517012415469
helmet,21800,0.02336109025515833
helmet,21900,0.019028370812963318
helmet,22000,0.020037464071158972
helmet,22100,0.022208512542486514
helmet,22200,0.017774338706221266
helmet,22300,0.021789633119233556
helmet,22400,0.02101759695237295
helmet,22500,0.022041924759283557
helmet,22600,0.019435713122516952
helmet,22700,0.020562642627613575
helmet,22800,0.0210534078395337
helmet,22900,0.02102404695101861
helmet,23000,0.02007965758496342
helmet,23100,0.020977783501554957
helmet,23200,0.02304032121959002
helmet,23300,0.020438392210575675
helmet,23400,0.018101323495967134
helmet,23500,0.021984985714209444
helmet,23600,0.02448067788201927
helmet,23700,0.01961496540767812
helmet,23800,0.023559241657561743
helmet,23900,0.018594297763769176
helmet,24000,0.020175917350368725
helmet,24100,0.02061132218898209
helmet,24200,0.021680975773342076
helmet,24300,0.01910921887717432
helmet,24400,0.018538901895698314
helmet,24500,0.020643395699335685
helmet,24600,0.022070497004874394
helmet,24700,0.019363703463381517
helmet,24800,0.02098508366426986
helmet,24900,0.020286104104409577
helmet,25000,0.020934928680656707
helmet,25100,0.02217136350772593
helmet,25200,0.017414242416075094
helmet,25300,0.02010625315692676
helmet,25400,0.021984682543041995
helmet,25500,0.01944636151134805
helmet,25600,0.017339800661762595
helmet,25700,0.022231762224475028
helmet,25800,0.02043142235387825
helmet,25900,0.02010434781003991
helmet,26000,0.0193533164368219
helmet,26100,0.020218243392917862
helmet,26200,0.017795198026332525
helmet,26300,0.01978294184731011
helmet,26400,0.020315325893699984
helmet,26500,0.020039119852662178
helmet,26600,0.01520956834898533
helmet,26700,0.021484711221682353
helmet,26800,0.018949082713599238
helmet,26900,0.020655176102707208
helmet,27000,0.018947159366550448
helmet,27100,0.018647441196744493
helmet,27200,0.018092547475329956
helmet,27300,0.019971897985031847
helmet,27400,0.019735748838090143
helmet,27500,0.02012252849837537
helmet,27600,0.019220307867544802
helmet,27700,0.02006288136606088
helmet,27800,0.020490724488506615
helmet,27900,0.019623220634638217
helmet,28000,0.01704829954214955
helmet,28100,0.01960901155049369
helmet,28200,0.020078183488013573
helmet,28300,0.020151341665771653
helmet,28400,0.020359613872802725
helmet,28500,0.01718433572689279
helmet,28600,0.01753850266250234
helmet,28700,0.019442507285159023
helmet,28800,0.016925739059482553
helmet,28900,0.021058418702550454
helmet,29000,0.01868951452428145
helmet,29100,0.01676242621849001
helmet,29200,0.019106138710008335
helmet,29300,0.016169064848194664
helmet,29400,0.01684468544244593
helmet,29500,0.01578030076611746
helmet,29600,0.01916449060793453
helmet,29700,0.019020490337169533
helmet,29800,0.0188330900473809
helmet,29900,0.01589396099434298
helmet,30000,0.017581755318488358
helmet,30100,0.017736510770361518
helmet,30200,0.018156071302748107
helmet,30300,0.017909528019267488
helmet,30400,0.01627973740201625
helmet,30500,0.01831680862725349
helmet,30600,0.017353156853348064
helmet,30700,0.01961096744258253
helmet,30800,0.018493331311082564
helmet,30900,0.019811397565252627
helmet,31000,0.016454928524988716
helmet,31100,0.01789925788146289
helmet,31200,0.017144935199240516
helmet,31300,0.018072255152369952
helmet,31400,0.018380550647240743
helmet,31500,0.019775419474895237
helmet,31600,0.01863548917818821
helmet,31700,0.016471982721585416
helmet,31800,0.01794165406588142
helmet,31900,0.017136779233752997
helmet,32000,0.017119281350809347
helmet,32100,0.01854749779393004
helmet,32200,0.01656841138449476
helmet,32300,0.01845286692756125
helmet,32400,0.01701183381885052
helmet,32500,0.016068973068740153
helmet,32600,0.018890934898639192
helmet,32700,0.01712452763299816
helmet,32800,0.01705752511638021
helmet,32900,0.018267850610122493
helmet,33000,0.01938855125776962
helmet,33100,0.014714119151782772
helmet,33200,0.018867052888751918
helmet,33300,0.015453730861869002
helmet,33400,0.01757031464063007
helmet,33500,0.014369042156625714
helmet,33600,0.016490217713595066
helmet,33700,0.015953697875214844
helmet,33800,0.018492304260645822
helmet,33900,0.017460769535470298
helmet,34000,0.018102584340722996
helmet,34100,0.016640084422436488
helmet,34200,0.016535345150523535
helmet,34300,0.018080534449054456
helmet,34400,0.01510825451475757
helmet,34500,0.015257712656678229
helmet,34600,0.015809776356955588
helmet,34700,0.01643750300018754
helmet,34800,0.015553393078676401
helmet,34900,0.01683000895422775
helmet,35000,0.017865006820798
helmet,35100,0.01596238168678424
helmet,35200,0.018306185040047666
helmet,35300,0.01858084307725777
helmet,35400,0.016087735259789925
helmet,35500,0.016681473277456133
